DNP3point,phase,Index,Measurement mRID,ConductingEquipment,Device Name
l3_Vrms.o1,A,70,_2a500652-3bf4-470b-8983-d9052033b16f,_65A10278-17AC-4F93-9F78-6B0C697C8B0A,DNP3 Slave
l3_Vrms.o2,B,71,_f3e020df-3b39-49e0-9433-959ff60b1606,_65A10278-17AC-4F93-9F78-6B0C697C8B0A,DNP3 Slave
l3_Vrms.o3,C,72,_876f7e37-31d3-446b-98fe-97b7bed5c16d,_65A10278-17AC-4F93-9F78-6B0C697C8B0A,DNP3 Slave
l30_Vrms.o1,A,73,_f944e17c-ddb9-4faa-9379-f8fd09f2c41b,_C32DB82D-8DC6-4BC6-9624-179D1A1D949F,DNP3 Slave
l30_Vrms.o2,B,74,_2cedaca9-8a5e-475b-b3a6-cfab11342bef,_C32DB82D-8DC6-4BC6-9624-179D1A1D949F,DNP3 Slave
l30_Vrms.o3,C,75,_44c772e4-265b-419b-b445-c54238ab7f7b,_C32DB82D-8DC6-4BC6-9624-179D1A1D949F,DNP3 Slave
l31_Vrms.o1,A,76,_f16a7cfb-55b7-44ad-962e-580ce80b4f76,_9944A2E8-663F-44BE-BC59-B7044E8BC7FE,DNP3 Slave
l31_Vrms.o2,B,77,_6433c833-4d26-43fa-a0ce-015cac1edceb,_9944A2E8-663F-44BE-BC59-B7044E8BC7FE,DNP3 Slave
l31_Vrms.o3,C,78,_888605ea-1171-40a2-92e0-f11b3717824d,_9944A2E8-663F-44BE-BC59-B7044E8BC7FE,DNP3 Slave
l32_Vrms.o1,A,79,_10d41e79-71ee-4843-ba81-b38d7e00a120,_D7C15256-CE68-41D9-801F-5F00EA0891A0,DNP3 Slave
l32_Vrms.o2,B,80,_ed28016f-1aff-43a4-b125-4a1b91099616,_D7C15256-CE68-41D9-801F-5F00EA0891A0,DNP3 Slave
l32_Vrms.o3,C,81,_ab4d7e75-5289-4714-a295-86e9259394be,_D7C15256-CE68-41D9-801F-5F00EA0891A0,DNP3 Slave
l33_Vrms.o3,C,82,_e2f1529f-58bf-4343-b1f9-1de6a6b99ae4,_E55B8BB5-B386-4381-B1F5-2E8B6DD11A66,DNP3 Slave
l35_Vrms.o1,A,83,_ecc77ba6-4d99-475a-a978-abecd8795ec8,_F82863AA-3944-4741-8B05-8793E443E9AA,DNP3 Slave
l35_Vrms.o2,B,84,_16e8f119-40b3-4309-8c7f-1f39f07871ac,_F82863AA-3944-4741-8B05-8793E443E9AA,DNP3 Slave
l36_Vrms.o1,A,85,_5ed4b1aa-1932-4930-b1af-eea1741a704d,_0478F207-BC9A-46BC-B270-98691D503B17,DNP3 Slave
l36_Vrms.o2,B,86,_d7e822ff-25fe-43bf-bb3d-b1f2d9a93400,_0478F207-BC9A-46BC-B270-98691D503B17,DNP3 Slave
l36_Vrms.o3,C,87,_1650d546-d36e-4044-a238-eeb160ef91aa,_0478F207-BC9A-46BC-B270-98691D503B17,DNP3 Slave
l37_Vrms.o1,A,88,_2e0a6aa0-35f8-48e8-948c-08236b399846,_6BAC9AF3-BF82-456B-9743-564DEF6A65AC,DNP3 Slave
l38_Vrms.o2,B,89,_5a0eb5d9-92be-4302-b947-d531e711c58b,_984B00B1-B20E-4DDE-AC07-171A1E0C7B89,DNP3 Slave
l39_Vrms.o2,B,90,_556baa8e-ea6f-43ee-8f03-7d0236738768,_53F0B19C-344E-4AF8-A2DB-059AC09251E8,DNP3 Slave
l4_Vrms.o3,C,91,_17e9fda1-d392-461e-a16e-b9d84c8377d5,_52E8667E-E647-4783-8CCA-71EA96741711,DNP3 Slave
l40_Vrms.o3,C,92,_97493788-b05f-426f-afff-ed047fb50c3a,_196F5D43-D671-4296-B6E8-A2D22FA18C6A,DNP3 Slave
l41_Vrms.o1,A,93,_845c9885-427a-4876-b980-5a935aa5f39e,_D5E5461A-A79F-4103-BB4D-070981A6B003,DNP3 Slave
l41_Vrms.o2,B,94,_a2aa3c80-6eea-4843-a694-4b39cfb609b1,_D5E5461A-A79F-4103-BB4D-070981A6B003,DNP3 Slave
l41_Vrms.o3,C,95,_618f9e49-8123-4881-aef8-3341d18f8b67,_D5E5461A-A79F-4103-BB4D-070981A6B003,DNP3 Slave
l42_Vrms.o2,B,96,_75db78b8-b74c-41a1-b6b0-64fd4fbd13f3,_34D245BD-7458-455E-BC36-FEC3601D5D4C,DNP3 Slave
l43_Vrms.o2,B,97,_cc4689a7-390a-42e6-a5d5-3b4eb8675af7,_5D1EEC32-5C06-4A10-A809-E08D8FEE5526,DNP3 Slave
l43_Vrms.o3,C,98,_78ec65ed-f2df-444a-8652-885aedbdc79b,_5D1EEC32-5C06-4A10-A809-E08D8FEE5526,DNP3 Slave
l44_Vrms.o1,A,99,_e57b346f-87e5-44d1-9cf0-70290fdbfbf6,_FBE2882B-3840-44A2-A9DA-539D82CF00DB,DNP3 Slave
l45_Vrms.o1,A,100,_3beb6b33-c2c8-46ac-9b1e-08487cac333e,_2AC05A50-D288-40F0-AC6D-491953D8C700,DNP3 Slave
l45_Vrms.o2,B,101,_0ce1b7f2-ed53-42dc-a587-2b329a45a74c,_2AC05A50-D288-40F0-AC6D-491953D8C700,DNP3 Slave
l45_Vrms.o3,C,102,_52171d77-206c-4c31-a6d5-cbc79c927513,_2AC05A50-D288-40F0-AC6D-491953D8C700,DNP3 Slave
l46_Vrms.o1,A,103,_36e80cec-f978-4cba-9231-3cb7792384fc,_32A823B8-3EAD-4395-8DD8-D291CD50AD16,DNP3 Slave
l47_Vrms.o1,A,104,_11125daf-ef19-4f5c-bf26-673efaa7d007,_85EFCB89-5D9D-49A3-967A-B87A7AFD6DC7,DNP3 Slave
l47_Vrms.o2,B,105,_41141433-27fd-4456-a841-fdada6c70069,_85EFCB89-5D9D-49A3-967A-B87A7AFD6DC7,DNP3 Slave
l47_Vrms.o3,C,106,_a130cf1a-7edf-4276-9b1b-e08242cf6d25,_85EFCB89-5D9D-49A3-967A-B87A7AFD6DC7,DNP3 Slave
l48_Vrms.o1,A,107,_07cd1a00-2676-433a-a84b-3ae69c5c7bc3,_AC96A6C7-29BD-4D7E-A4BE-694B5D7EE2B9,DNP3 Slave
l48_Vrms.o2,B,108,_8b86fcbe-1b40-40f3-b53e-6fd9e1365d18,_AC96A6C7-29BD-4D7E-A4BE-694B5D7EE2B9,DNP3 Slave
l48_Vrms.o3,C,109,_2af3bb10-9e20-4260-9adb-8a8759214a2b,_AC96A6C7-29BD-4D7E-A4BE-694B5D7EE2B9,DNP3 Slave
l49_Vrms.o1,A,110,_50609a5b-0482-4443-a8a9-376d7ade5af9,_A886B436-79DF-41FF-A256-DF4C819EC728,DNP3 Slave
l49_Vrms.o2,B,111,_fcbb8edb-d818-48ac-825c-1c9fd49f076d,_A886B436-79DF-41FF-A256-DF4C819EC728,DNP3 Slave
l49_Vrms.o3,C,112,_291c54ae-c153-42a3-b209-05bcba6dfd23,_A886B436-79DF-41FF-A256-DF4C819EC728,DNP3 Slave
l5_Vrms.o3,C,113,_526d2073-b17b-4939-a12e-0455a95fe1e4,_CB643816-35C1-4492-A9F9-06D5B97005BF,DNP3 Slave
l50_Vrms.o1,A,114,_fa3e659f-890e-402e-8d05-c5c1d9a2ba83,_3947F4A6-6710-4291-B51C-4E1CC2E0567B,DNP3 Slave
l50_Vrms.o2,B,115,_28d286d7-3422-465e-aede-db39e500786c,_3947F4A6-6710-4291-B51C-4E1CC2E0567B,DNP3 Slave
l50_Vrms.o3,C,116,_585f06c4-45fd-4c1d-b946-a5ed1fe224f7,_3947F4A6-6710-4291-B51C-4E1CC2E0567B,DNP3 Slave
l52_Vrms.o1,A,117,_eaa2a504-6b8a-4d79-a6c7-e3a1a29de4c1,_003DFCEE-987F-494C-8EE0-559BC071B297,DNP3 Slave
l52_Vrms.o2,B,118,_8441b283-92cf-49ba-a275-415d4f6b300d,_003DFCEE-987F-494C-8EE0-559BC071B297,DNP3 Slave
l52_Vrms.o3,C,119,_38ec2dc2-3c2b-4fc1-9811-0171acec4705,_003DFCEE-987F-494C-8EE0-559BC071B297,DNP3 Slave
l53_Vrms.o2,B,120,_29c64135-743a-4869-a0ee-b1ac9ba81972,_F0096681-47EB-4062-A467-24603744E0D8,DNP3 Slave
l53_Vrms.o3,C,121,_870155be-4a7e-46e2-b267-863f9a907082,_F0096681-47EB-4062-A467-24603744E0D8,DNP3 Slave
l54_Vrms.o1,A,122,_c6789643-80b0-41dd-b058-9defab593ec5,_22C80CC0-542E-4E06-A772-98862123B560,DNP3 Slave
l54_Vrms.o2,B,123,_8cc18018-b97e-457d-8210-36deb382f68a,_22C80CC0-542E-4E06-A772-98862123B560,DNP3 Slave
l54_Vrms.o3,C,124,_3885ae3b-ba32-44df-a3cf-01825c12ef69,_22C80CC0-542E-4E06-A772-98862123B560,DNP3 Slave
l55_Vrms.o1,A,125,_aa651d04-a8a6-47d0-ac35-1399f82670dc,_31C19D78-ED04-4D3A-A4FA-32A597EB1008,DNP3 Slave
l55_Vrms.o2,B,126,_51a45d01-ab72-484f-80cd-342a30f6204e,_31C19D78-ED04-4D3A-A4FA-32A597EB1008,DNP3 Slave
l55_Vrms.o3,C,127,_f38d9513-3561-464c-862e-0d8f24eb0ce0,_31C19D78-ED04-4D3A-A4FA-32A597EB1008,DNP3 Slave
l56_Vrms.o1,A,128,_3090ec43-50d8-4635-87e7-8a3dbd0e4eab,_CC49B9D2-A1E2-40E6-901C-504CFFC3CC6D,DNP3 Slave
l56_Vrms.o2,B,129,_b9ff86c2-e434-4384-b167-b040bea04287,_CC49B9D2-A1E2-40E6-901C-504CFFC3CC6D,DNP3 Slave
l56_Vrms.o3,C,130,_dce6303d-4842-47db-b47d-15fd5934221d,_CC49B9D2-A1E2-40E6-901C-504CFFC3CC6D,DNP3 Slave
